=== BOOT ===
[APP: synthui_led_button_test] [VER: v1] [BUILD: Sep 19 2026 09:31:36]
SYNTHUI_LED_BUTTON_BEGIN
PANEL_OK
led_button_scene=16 grid=4x4
LVGL_FLUSHED=PASS
LVGL_BYTES=3686400
led_button_crc=0xD474F06D
led_button_delta_crc=0x463C3371
led_button_fresh_crc=0x463C3371
led_button_delta_eq=PASS
led_button_damage max=6640 total=199924 steps=64 tail=6
led_button_damage_op lit=1450 press=6640 cue=900 color=1450
led_button_tasks_op lit=10 press=12 cue=23 color=10
led_button_vsync flips=73 isrs=73 timeouts=0
crc_done
PASS: SynthUI led_button render verified
led_button_fps frames=64 mfps_med=20238 us_med=49411 us_min=13381 us_max=220835
led_button_transition i=0 us=168559 sync_us=954 render_us=167093 wait_us=0 px=921600 sync_px=0 ev=52 inv=1 full=1 ticks=2
led_button_frame i=24 us=68014 sync_us=3397 render_us=64498 wait_us=0 px=26344 sync_px=6552 ev=27 inv=23 full=0 ticks=2
led_button_frame i=25 us=66976 sync_us=31549 render_us=35271 wait_us=7840 px=6552 sync_px=26344 ev=8 inv=8 full=0 ticks=1
led_button_frame i=26 us=49411 sync_us=26920 render_us=22417 wait_us=24055 px=6552 sync_px=6552 ev=8 inv=8 full=0 ticks=1
led_button_frame i=27 us=20088 sync_us=3011 render_us=16996 wait_us=0 px=6552 sync_px=6552 ev=8 inv=8 full=0 ticks=1
led_button_frame i=28 us=75795 sync_us=2655 render_us=72806 wait_us=0 px=22652 sync_px=6552 ev=27 inv=23 full=0 ticks=2
led_button_frame i=29 us=32084 sync_us=23729 render_us=8276 wait_us=13506 px=6552 sync_px=22652 ev=8 inv=8 full=0 ticks=1
led_button_frame i=30 us=21972 sync_us=1205 render_us=20680 wait_us=0 px=3724 sync_px=6552 ev=8 inv=8 full=0 ticks=1
led_button_frame i=31 us=85135 sync_us=2485 render_us=82450 wait_us=0 px=22572 sync_px=3724 ev=26 inv=22 full=0 ticks=2
led_button_frame i=32 us=36619 sync_us=17383 render_us=19108 wait_us=650 px=9428 sync_px=22572 ev=8 inv=8 full=0 ticks=1
led_button_frame i=33 us=18671 sync_us=3781 render_us=14762 wait_us=0 px=5580 sync_px=9428 ev=8 inv=8 full=0 ticks=1
led_button_frame i=34 us=88854 sync_us=1455 render_us=87342 wait_us=0 px=26344 sync_px=5580 ev=27 inv=23 full=0 ticks=2
led_button_frame i=35 us=49996 sync_us=11213 render_us=38707 wait_us=1959 px=6552 sync_px=26344 ev=8 inv=8 full=0 ticks=1
led_button_frame i=36 us=22448 sync_us=2336 render_us=19977 wait_us=0 px=6552 sync_px=6552 ev=8 inv=8 full=0 ticks=1
led_button_frame i=37 us=74040 sync_us=2915 render_us=71033 wait_us=0 px=22652 sync_px=6552 ev=27 inv=23 full=0 ticks=2
led_button_frame i=38 us=43388 sync_us=19114 render_us=24206 wait_us=4230 px=6552 sync_px=22652 ev=8 inv=8 full=0 ticks=1
led_button_frame i=39 us=14095 sync_us=1977 render_us=11990 wait_us=0 px=6552 sync_px=6552 ev=8 inv=8 full=0 ticks=1
led_button_frame i=40 us=64795 sync_us=2618 render_us=61984 wait_us=0 px=24348 sync_px=6552 ev=26 inv=22 full=0 ticks=2
led_button_frame i=41 us=57073 sync_us=33808 render_us=23178 wait_us=14191 px=6552 sync_px=24348 ev=8 inv=8 full=0 ticks=1
led_button_frame i=42 us=13381 sync_us=1174 render_us=12019 wait_us=0 px=3724 sync_px=6552 ev=8 inv=8 full=0 ticks=1
led_button_frame i=43 us=80438 sync_us=4442 render_us=75933 wait_us=0 px=24568 sync_px=3724 ev=27 inv=23 full=0 ticks=2
led_button_frame i=44 us=46333 sync_us=16670 render_us=29533 wait_us=9277 px=9428 sync_px=24568 ev=8 inv=8 full=0 ticks=1
led_button_frame i=45 us=21270 sync_us=5230 render_us=15910 wait_us=1689 px=5580 sync_px=9428 ev=8 inv=8 full=0 ticks=1
led_button_frame i=46 us=88482 sync_us=4002 render_us=84289 wait_us=0 px=22652 sync_px=5580 ev=27 inv=23 full=0 ticks=2
led_button_frame i=47 us=60445 sync_us=28754 render_us=31618 wait_us=10574 px=6552 sync_px=22652 ev=8 inv=8 full=0 ticks=1
led_button_frame i=48 us=17880 sync_us=3981 render_us=13819 wait_us=0 px=6552 sync_px=6552 ev=8 inv=8 full=0 ticks=1
led_button_frame i=49 us=84873 sync_us=4192 render_us=80555 wait_us=0 px=24348 sync_px=6552 ev=26 inv=22 full=0 ticks=2
led_button_frame i=50 us=49322 sync_us=17393 render_us=31869 wait_us=6180 px=6552 sync_px=24348 ev=8 inv=8 full=0 ticks=1
led_button_frame i=51 us=38915 sync_us=1795 render_us=37073 wait_us=0 px=6552 sync_px=6552 ev=8 inv=8 full=0 ticks=1
led_button_frame i=52 us=123291 sync_us=3448 render_us=119043 wait_us=0 px=26344 sync_px=6552 ev=27 inv=23 full=0 ticks=2
led_button_frame i=53 us=70612 sync_us=38147 render_us=32370 wait_us=15324 px=6552 sync_px=26344 ev=8 inv=8 full=0 ticks=1
led_button_frame i=54 us=31768 sync_us=16008 render_us=15689 wait_us=13835 px=3724 sync_px=6552 ev=8 inv=8 full=0 ticks=1
led_button_frame i=55 us=47701 sync_us=2142 render_us=45176 wait_us=0 px=13752 sync_px=3724 ev=19 inv=19 full=0 ticks=1
led_button_frame i=56 us=27280 sync_us=9766 render_us=17278 wait_us=1860 px=7604 sync_px=13752 ev=8 inv=8 full=0 ticks=1
led_button_frame i=57 us=26580 sync_us=3863 render_us=22620 wait_us=0 px=9428 sync_px=7604 ev=8 inv=8 full=0 ticks=1
led_button_frame i=58 us=30071 sync_us=7529 render_us=22483 wait_us=0 px=5580 sync_px=9428 ev=8 inv=8 full=0 ticks=1
led_button_frame i=59 us=102768 sync_us=6149 render_us=96491 wait_us=0 px=24348 sync_px=5580 ev=26 inv=22 full=0 ticks=2
led_button_frame i=60 us=88668 sync_us=10136 render_us=78426 wait_us=0 px=6552 sync_px=24348 ev=8 inv=8 full=0 ticks=1
led_button_frame i=61 us=216457 sync_us=3411 render_us=212833 wait_us=0 px=26344 sync_px=6552 ev=27 inv=23 full=0 ticks=2
led_button_frame i=62 us=77581 sync_us=36551 render_us=40942 wait_us=10883 px=6552 sync_px=26344 ev=8 inv=8 full=0 ticks=1
led_button_frame i=63 us=35113 sync_us=3939 render_us=31032 wait_us=0 px=9828 sync_px=6552 ev=16 inv=12 full=0 ticks=2
led_button_frame_max i=22 us=220835 sync_px=5580 px=24348 full=0
led_button_mem total=1045244 used_pct=2 max_used=14236 frag_pct=1
led_button_sync copies=689 fallbacks=0 errors=0
